timestamp,datetime,open,high,low,close,volume,funding_rate
1753495200,2025-07-26 02:00:00,117224,117851,117223,117557,773.6063,NaN
1753498800,2025-07-26 03:00:00,117558,117692,117545,117571,342.34921,NaN
1753502400,2025-07-26 04:00:00,117572,117620,117480,117575,216.38382,NaN
1753506000,2025-07-26 05:00:00,117575,117633,117497,117533,322.94952,NaN
1753509600,2025-07-26 06:00:00,117534,117541,117410,117438,216.27311,NaN
1753513200,2025-07-26 07:00:00,117438,117467,117407,117407,155.22821,NaN
1753516800,2025-07-26 08:00:00,117408,117700,117407,117639,305.1611,NaN
1753520400,2025-07-26 09:00:00,117640,117714,117528,117670,247.32626,NaN
1753524000,2025-07-26 10:00:00,117670,118328,117620,118059,1334.82939,NaN
1753527600,2025-07-26 11:00:00,118059,118166,117863,117864,485.59136,NaN
1753531200,2025-07-26 12:00:00,117863,118096,117847,117999,363.0678,NaN
1753534800,2025-07-26 13:00:00,117998,118322,117928,118220,433.35536,NaN
1753538400,2025-07-26 14:00:00,118219,118310,118034,118150,544.62427,NaN
1753542000,2025-07-26 15:00:00,118149,118241,117910,118210,951.1672,NaN
1753545600,2025-07-26 16:00:00,118210,118280,118081,118159,331.18365,NaN
1753549200,2025-07-26 17:00:00,118159,118175,118054,118093,185.12568,NaN
1753552800,2025-07-26 18:00:00,118094,118185,118000,118156,339.61709,NaN
1753556400,2025-07-26 19:00:00,118156,118354,118100,118307,490.27526,NaN
1753560000,2025-07-26 20:00:00,118307,118307,117950,118014,271.33963,NaN
1753563600,2025-07-26 21:00:00,118013,118144,117927,118102,441.13964,NaN
1753567200,2025-07-26 22:00:00,118101,118345,118040,118077,702.98007,NaN
1753570800,2025-07-26 23:00:00,118078,118111,117950,117960,316.77731,NaN
1753574400,2025-07-27 00:00:00,117961,118000,117862,117998,620.30715,NaN
1753578000,2025-07-27 01:00:00,117998,118250,117971,118156,520.42571,NaN
1753581600,2025-07-27 02:00:00,118156,118458,118062,118387,303.35289,NaN
1753585200,2025-07-27 03:00:00,118386,118387,118154,118243,196.84585,NaN
1753588800,2025-07-27 04:00:00,118243,118334,118209,118290,216.65013,NaN
1753592400,2025-07-27 05:00:00,118290,118374,118240,118350,130.11165,NaN
1753596000,2025-07-27 06:00:00,118350,118551,118268,118357,318.96157,NaN
1753599600,2025-07-27 07:00:00,118357,118357,118142,118184,211.76083,NaN
1753603200,2025-07-27 08:00:00,118184,118223,118052,118069,253.96139,NaN
1753606800,2025-07-27 09:00:00,118070,118098,117938,117995,488.92451,NaN
1753610400,2025-07-27 10:00:00,117995,118342,117994,118256,462.46076,NaN
1753614000,2025-07-27 11:00:00,118257,118306,118118,118145,221.56478,NaN
1753617600,2025-07-27 12:00:00,118144,118165,117894,118138,884.18663,NaN
1753621200,2025-07-27 13:00:00,118137,118289,118114,118250,745.91662,NaN
1753624800,2025-07-27 14:00:00,118249,118550,118207,118475,673.01307,NaN
1753628400,2025-07-27 15:00:00,118476,118673,118295,118669,1054.97957,NaN
1753632000,2025-07-27 16:00:00,118669,119621,118669,119152,2421.29443,NaN
1753635600,2025-07-27 17:00:00,119154,119409,118919,119292,780.04257,NaN
1753639200,2025-07-27 18:00:00,119292,119478,119028,119111,505.82683,NaN
1753642800,2025-07-27 19:00:00,119111,119167,118964,119036,407.77619,NaN
1753646400,2025-07-27 20:00:00,119035,119269,118795,118830,440.58074,NaN
1753650000,2025-07-27 21:00:00,118830,119373,118806,119371,454.17453,NaN
1753653600,2025-07-27 22:00:00,119371,119848,119316,119565,1519.43418,NaN
1753657200,2025-07-27 23:00:00,119566,119611,119250,119507,721.6425,NaN
1753660800,2025-07-28 00:00:00,119507,119790,119215,119339,811.84908,NaN
1753664400,2025-07-28 01:00:00,119340,119584,119036,119127,431.55091,NaN
1753668000,2025-07-28 02:00:00,119128,119934,119106,119531,535.87649,NaN
1753671600,2025-07-28 03:00:00,119531,119633,119327,119372,310.36356,NaN
1753675200,2025-07-28 04:00:00,119372,119521,119222,119303,224.56582,NaN
1753678800,2025-07-28 05:00:00,119303,119787,119232,119610,429.89488,NaN
1753682400,2025-07-28 06:00:00,119611,119715,119527,119550,393.24915,NaN
1753686000,2025-07-28 07:00:00,119550,119550,118837,118988,967.55048,NaN
1753689600,2025-07-28 08:00:00,118988,119181,118856,119159,417.15649,NaN
1753693200,2025-07-28 09:00:00,119160,119160,118785,119011,341.25762,NaN
1753696800,2025-07-28 10:00:00,119010,119045,118670,118841,366.65434,NaN
1753700400,2025-07-28 11:00:00,118840,118937,118550,118905,906.01201,NaN
1753704000,2025-07-28 12:00:00,118904,119182,118866,118922,765.18608,NaN
1753707600,2025-07-28 13:00:00,118921,119196,118312,118512,2833.86582,NaN
1753711200,2025-07-28 14:00:00,118512,118771,118006,118069,3085.66454,NaN
1753714800,2025-07-28 15:00:00,118069,118600,118000,118266,1033.95254,NaN
1753718400,2025-07-28 16:00:00,118267,118470,118074,118105,754.96246,NaN
1753722000,2025-07-28 17:00:00,118102,118220,117721,117732,2185.30518,NaN
1753725600,2025-07-28 18:00:00,117731,117960,117503,117872,2216.61597,NaN
1753729200,2025-07-28 19:00:00,117871,118338,117572,118149,2622.21091,NaN
1753732800,2025-07-28 20:00:00,118149,118256,117550,118132,2930.34441,NaN
1753736400,2025-07-28 21:00:00,118123,118427,118026,118180,700.10656,NaN
