Timestamp,Open,High,Low,Close,Volume,Funding Rate,Position,Trading PnL,Funding PnL,Total PnL,Equity
2025-07-07T11:00:00+00:00,108706,108858,108611,108675,461.41531,,0.0,0,0,0,10000
2025-07-07T12:00:00+00:00,108675,108675,108338,108367,930.65494,,0.0,0,0,0,10000
2025-07-07T13:00:00+00:00,108368,108629,108090,108597,1996.71693,,0.0,0,0,0,10000
2025-07-07T14:00:00+00:00,108597,108739,108002,108265,1484.66238,,0.0,0,0,0,10000
2025-07-07T15:00:00+00:00,108266,108650,108264,108331,967.90696,,0.0,0,0,0,10000
2025-07-07T16:00:00+00:00,108333,108531,107923,107984,2299.80746,,0.0,0,0,0,10000
2025-07-07T17:00:00+00:00,107987,108381,107827,107952,1102.18845,,0.0,0,0,0,10000
2025-07-07T18:00:00+00:00,107951,108125,107528,108054,2136.74601,,0.0,0,0,0,10000
2025-07-07T19:00:00+00:00,108054,108358,108040,108062,1233.02839,,0.0,0,0,0,10000
2025-07-07T20:00:00+00:00,108063,108177,107874,107906,638.08133,,0.0,0,0,0,10000
2025-07-07T21:00:00+00:00,107907,108251,107801,108191,593.89454,,0.0,0,0,0,10000
2025-07-07T22:00:00+00:00,108192,108217,107988,108053,437.38076,,0.0,0,0,0,10000
2025-07-07T23:00:00+00:00,108054,108340,108053,108284,510.33841,,0.0,0,0,0,10000
2025-07-08T00:00:00+00:00,108283,108583,108225,108340,691.35624,,0.0,0,0,0,10000
2025-07-08T01:00:00+00:00,108340,108340,107682,107699,1245.20892,,0.0,0,0,0,10000
2025-07-08T02:00:00+00:00,107699,107978,107445,107798,1872.2722,,0.0,0,0,0,10000
2025-07-08T03:00:00+00:00,107798,108040,107706,107919,354.11152,,0.0,0,0,0,10000
2025-07-08T04:00:00+00:00,107919,108070,107758,108057,263.30979,,0.0,0,0,0,10000
2025-07-08T05:00:00+00:00,108057,108228,107985,108218,224.66173,,0.0,0,0,0,10000
2025-07-08T06:00:00+00:00,108218,108393,108142,108311,392.6876,,0.0,0,0,0,10000
2025-07-08T07:00:00+00:00,108311,108492,108218,108477,375.36725,,0.0,0,0,0,10000
2025-07-08T08:00:00+00:00,108477,108515,108243,108244,855.5542,,0.0,0,0,0,10000
2025-07-08T09:00:00+00:00,108244,108499,108218,108460,684.28417,,0.0,0,0,0,10000
2025-07-08T10:00:00+00:00,108460,108888,108403,108805,1094.28996,,0.0,0,0,0,10000
2025-07-08T11:00:00+00:00,108805,109009,108740,108744,1080.39933,,0.0,0,0,0,10000
2025-07-08T12:00:00+00:00,108745,108950,108676,108950,730.25186,,0.0,0,0,0,10000
2025-07-08T13:00:00+00:00,108950,109248,108633,109066,2356.28037,,0.0,0,0,0,10000
2025-07-08T14:00:00+00:00,109067,109096,108259,108391,2221.90664,,0.0,0,0,0,10000
2025-07-08T15:00:00+00:00,108391,108555,108218,108272,1010.35618,,0.0,0,0,0,10000
2025-07-08T16:00:00+00:00,108272,108566,108103,108453,704.06993,,0.0,0,0,0,10000
2025-07-08T17:00:00+00:00,108454,109125,108443,109005,1651.03019,,0.0,0,0,0,10000
2025-07-08T18:00:00+00:00,109004,109200,108923,109198,960.49995,,0.0,0,0,0,10000
2025-07-08T19:00:00+00:00,109198,109198,108734,108799,713.05477,,0.0,0,0,0,10000
2025-07-08T20:00:00+00:00,108799,108972,108640,108640,717.99718,,0.0,0,0,0,10000
2025-07-08T21:00:00+00:00,108640,108994,108604,108897,733.25017,,0.0,0,0,0,10000
2025-07-08T22:00:00+00:00,108897,108989,108833,108919,241.81018,,0.0,0,0,0,10000
2025-07-08T23:00:00+00:00,108919,108989,108840,108930,216.82487,,0.0,0,0,0,10000
2025-07-09T00:00:00+00:00,108929,108965,108774,108946,380.54534,,0.0,0,0,0,10000
2025-07-09T01:00:00+00:00,108945,109161,108726,108779,507.5968,,0.0,0,0,0,10000
2025-07-09T02:00:00+00:00,108778,108847,108603,108623,332.32679,,0.0,0,0,0,10000
2025-07-09T03:00:00+00:00,108623,108678,108336,108391,619.26404,,0.0,0,0,0,10000
2025-07-09T04:00:00+00:00,108390,108593,108350,108576,401.59508,,0.0,0,0,0,10000
2025-07-09T05:00:00+00:00,108575,108955,108505,108806,788.18386,,0.0,0,0,0,10000
2025-07-09T06:00:00+00:00,108806,108890,108700,108875,297.8339,,0.0,0,0,0,10000
2025-07-09T07:00:00+00:00,108875,108918,108686,108724,271.51473,,0.0,0,0,0,10000
2025-07-09T08:00:00+00:00,108724,108880,108673,108683,405.21964,,0.0,0,0,0,10000
2025-07-09T09:00:00+00:00,108682,108804,108585,108783,301.35601,,0.0,0,0,0,10000
2025-07-09T10:00:00+00:00,108782,108934,108721,108919,346.36515,,0.0,0,0,0,10000
2025-07-09T11:00:00+00:00,108919,109140,108918,109069,829.89268,,0.0,0,0,0,10000
2025-07-09T12:00:00+00:00,109069,109542,108992,109356,1469.65686,,0.0,0,0,0,10000
2025-07-09T13:00:00+00:00,109356,109812,109162,109222,2124.9107,,0.0,0,0,0,10000
2025-07-09T14:00:00+00:00,109222,109500,108476,108933,3060.6715,,0.0,0,0,0,10000
2025-07-09T15:00:00+00:00,108933,109250,108804,109084,1187.89138,,0.0,0,0,0,10000
2025-07-09T16:00:00+00:00,109084,109485,109034,109402,752.60837,,0.0,0,0,0,10000
2025-07-09T17:00:00+00:00,109402,109446,109036,109162,490.69597,,0.0,0,0,0,10000
2025-07-09T18:00:00+00:00,109161,109575,109127,109557,1007.73066,,0.0,0,0,0,10000
2025-07-09T19:00:00+00:00,109558,112068,109515,111758,9057.20573,,0.0,0,0,0,10000
2025-07-09T20:00:00+00:00,111749,111953,110529,110695,7750.15657,,0.0,0,0,0,10000
2025-07-09T21:00:00+00:00,110696,111277,110661,110815,1685.92177,,0.0,0,0,0,10000
2025-07-09T22:00:00+00:00,110815,111404,110813,111375,1213.12298,,0.0,0,0,0,10000
2025-07-09T23:00:00+00:00,111375,111500,111212,111225,882.87017,,0.0,0,0,0,10000
2025-07-10T00:00:00+00:00,111225,111300,110875,110883,841.68198,,0.0,0,0,0,10000
2025-07-10T01:00:00+00:00,110883,111362,110847,111166,812.70648,,0.0,0,0,0,10000
2025-07-10T02:00:00+00:00,111166,111587,111115,111200,1367.22188,,0.0,0,0,0,10000
2025-07-10T03:00:00+00:00,111200,111203,110953,111024,535.04268,,0.0,0,0,0,10000
2025-07-10T04:00:00+00:00,111025,111170,110920,111129,424.22893,,0.0,0,0,0,10000
2025-07-10T05:00:00+00:00,111130,111145,110902,111072,484.51954,,0.0,0,0,0,10000
2025-07-10T06:00:00+00:00,111072,111292,111061,111216,531.89625,,0.0,0,0,0,10000
2025-07-10T07:00:00+00:00,111216,111409,111115,111208,608.46321,,0.0,0,0,0,10000
2025-07-10T08:00:00+00:00,111208,111423,111098,111232,610.16096,,0.0,0,0,0,10000
